Job Title,Company Name,Location,PostDate,ExtractDate,Summary
Audit CoE Senior Assoc-Treas/Comp/Ops Transactions-Telecommute,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC",30+ days ago,2022-02-02,Uphold the firm's code of ethics and business conduct.International hires or hires from a PwC affiliate firm must have obtained the equivalent accounting…
"Senior Audit Analyst (Remote) - Charlotte, NC Area only",Fidelity Investments,"Remote in Charlotte, NC",22 days ago,2022-02-02,Communicating findings to business leaders and senior management.Working with middle to senior management within a business or function to facilitate the…
Audit Senior - Commercial,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"3 years of current or recent experience in a public accounting environment, auditing financial statements.Supervise Audit Associates on engagement teams and…"
Sr. Director ISC Audit,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Responsible for presenting audit findings to senior management, and recommending corrective actions relating to control failures."
,KPMG,"Charlotte, NC 28202 (Fourth Ward area)",6 days ago,2022-02-02,Advise multinational enterprises on tax planning opportunities.KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and…
"Senior Manager, Tax",Glatfelter,"Charlotte, NC",21 days ago,2022-02-02,"The Senior Manager, Tax, will be responsible for overseeing global tax processes and people to ensure accurate financial reporting and maintain a strong…"
Sr Transaction Tax Analyst,ACN,"Concord, NC 28025",15 days ago,2022-02-02,"Review and reconcile all related general ledger tax accounts, including tax expense, accruals, billing, collections and payments.BA/BS in Accounting preferred."
Tax Senior Manager- Federal Consulting- Quantitative Services,EY,"Charlotte, NC 28217 (Eagle Lake area)",21 days ago,2022-02-02,"You will be part of the team, focused on identifying the various cash tax savings and refund opportunities in the areas of FDII, BEAT, and GILTI planning, R&D…"
,KPMG,"Charlotte, NC 28202 (Fourth Ward area)",Today,2022-02-02,Minimum of seven years of current and/or recent financial statement audit experience within a public accounting firm with demonstrated supervisory experience.
"Sr. Manager, Transaction Advisory - Financial - Atlantic Region",BDO,"Hybrid remote in Charlotte, NC",30+ days ago,2022-02-02,Ability to interact with and adapt communication style to successfully convey messaging and objectives to all levels of management.
Charlotte Technology Audit & Advisory (Financial Services) Senior Consultant,Protiviti,"Charlotte, NC",30+ days ago,2022-02-02,"Knowledge of audit methodologies and developing key internal audit deliverables including planning memos, process flows, risk and control matrices, work…"
Sr. Tax Analyst,Numerator,"Remote in Charlotte, NC",14 days ago,2022-02-02,"Experience working with a multinational foreign parent company is strongly desired.Here at Numerator, we've made all corporate roles have maximum flexibility…"
"Senior Director, Tax",Premier Inc.,"Charlotte, NC",30+ days ago,2022-02-02,"The Senior Director, Tax provides strategic tax leadership and is responsible for all areas of tax reporting, research and planning for the company and its…"
"Senior Associate, SALT Sales & Use",RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Provide excellent client service to multi-state companies with state and local tax issues including compliance, advisory services, planning, technology, and…"
"Tax Senior Manager, Blockchain & Cryptocurrency",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location",30+ days ago,2022-02-02,"Preparing and leading client meetings on advisory and compliance projects related to tax planning opportunities, and the tax implications of various…"
Strategic Federal Tax Services Senior Associate,Grant Thornton,"Charlotte, NC 28244 (Downtown Charlotte area)",30+ days ago,2022-02-02,Ensure projects are conducted in accordance with firm standards and completed on time within budget.A minimum of two to four years of experience in Accounting…
SENIOR ACCOUNTING MANAGER,"Murata Machinery USA, Inc.","Charlotte, NC 28208 (Westerly Hills area)",30+ days ago,2022-02-02,Manage completion of year end audit performed by an independent accounting firm.Dynamics Great Plains Software experience desired.
"Senior Manager, SALT M&A",KPMG,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package.Experience with various corporate taxes.
"Senior Manager, SALT M&A",KPMG,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package.Experience with various corporate taxes.
Senior Internal Auditor,Truist Financial,"Charlotte, NC 28269+2 locations",30+ days ago,2022-02-02,"If you have a disability and need assistance with the application, you can request a reasonable accommodation.1st shift (United States of America)."
Technical & Transactional Accounting Senior Manager,CBIZ,"Charlotte, NC 28277 (Whiteoak area)",30+ days ago,2022-02-02,"Perform engagement planning and communicate status updates.CBIZ ARC assists high growth companies with complex technical accounting, internal and external…"
State Income and Franchise - Investment Management Tax Senior - Multistate,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Assisting with tax consulting projects including tax planning, restructuring, and due diligence.2+ years' experience providing tax planning services or…"
Private Client Services Tax Senior Associate,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,Individual tax planning and compliance.Entity tax planning and compliance.Trust / Estate / Gift tax planning and compliance.
Charlotte Technology Audit & Advisory (Financial Services) Senior Manager,Protiviti,"Charlotte, NC",30+ days ago,2022-02-02,Establishing and cultivating critical business relationships / networking with senior executives.Charlotte Technology Audit & Advisory (Financial Services)…
"Sr Auditor - Lead, Risk Management",Ally Financial,"Charlotte, NC",30+ days ago,2022-02-02,Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals.
Sales & Use Tax Senior Manager,BDO,"Charlotte, NC",30+ days ago,2022-02-02,Ability to successfully interact with professionals at all levels.A STS SALT Sales & Use Tax Senior Manager is responsible for advising clients of the sales &…
Trust Tax Marketing/BD Sr. Manager,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,"Uphold the firm's code of ethics and business conduct.Demonstrated ability to discuss and explain current and emerging products and services, as well as…"
Assurance Senior Associate,CohnReznick,"Charlotte, NC 28202 (Fourth Ward area)",25 days ago,2022-02-02,"Serving as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and final deliverable."
Tax Senior Manager - Family Office / Southeast,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location",30+ days ago,2022-02-02,"Advise family office and multi-generational families on a full spectrum of tax services including structuring and modeling, succession planning, wealth transfer…"
"Audit Senior Manager - Non-Profit, Education and Government Group",Dixon Hughes Goodman,"Charlotte, NC 28209 (Barclay Downs area)",22 days ago,2022-02-02,Responsible for managing all phases of a governmental audit engagement from planning to issuance of financial statements.
Sr. Property Tax Analyst,"United Rentals, Inc.","Charlotte, NC 28217",30+ days ago,2022-02-02,"5+ years of multi-state Personal Property Tax experience with a large, multi-state corporation or accounting firm.Process personal property tax bills."
Technical & Transactional Accounting Senior Consultant,CBIZ,"Charlotte, NC 28277 (Whiteoak area)",30+ days ago,2022-02-02,Contribute to engagement planning and ensuring high quality of related products/deliverables for each.CBIZ ARC assists high growth companies with complex…
Private Client Services Tax Senior Manager - Ultra High Net Worth,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,Our Ultra-High Net Worth team focuses on post liquidity multigenerational families and C-Suite executives who have or require complex estate and income tax…
Core Tax Services Senior Associate - ASC 740 Focus,BDO,"Charlotte, NC",30+ days ago,2022-02-02,"A Core Tax Services Senior Associate is responsible for utilizing research skills, applying tax foundational knowledge to understand potential tax issues,…"
,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",6 days ago,2022-02-02,Uphold the firm's code of ethics and business conduct.Grasping firm capabilities and offerings and incorporating messaging into marketing programs;
Tax Senior Manager- Federal Consulting- Quantitative Services,EY,"Charlotte, NC 28217 (Eagle Lake area)",21 days ago,2022-02-02,"You will be part of the team, focused on identifying the various cash tax savings and refund opportunities in the areas of FDII, BEAT, and GILTI planning, R&D…"
External Audit Senior Manager - Technology and Media - US,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,"Business Acumen: making links between current issues and future trends facing markets and industries, the services we offer and client needs; moving easily…"
Trust Tax Marketing/BD Sr. Manager,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,"Uphold the firm's code of ethics and business conduct.Demonstrated ability to discuss and explain current and emerging products and services, as well as…"
,Daniels Company (West Virginia) Inc,"Charlotte, NC 28210 (Barclay Downs area)",EmployerActive 1 day ago,2022-02-02,"Charlotte, NC 28210: Reliably commute or planning to relocate before starting work (Preferred).Responsible for the accounting operations of the company."
Senior Accountant,SSG,"Charlotte, NC 28202 (Downtown Charlotte area)",EmployerActive 6 days ago,2022-02-02,"This position will perform activities related to the preparation of tax filings, tax payments, audit management, as well as, continuous improvements & special…"
,"Henderson Properties, Inc","Charlotte, NC 28211 (Grier Heights area)",1 day ago,2022-02-02,"Process lockbox payments, identify problem transactions, submit resolution tickets with financial institution and take appropriate steps in accounting system to…"
Senior Staff Accountant,SSG,"Charlotte, NC 28202 (Downtown Charlotte area)",EmployerActive 6 days ago,2022-02-02,"The Senior Staff Accountant prepares various financial transactions and reports, resolves account discrepancies, analyzes financial transactions, and ensures…"
Financial Services Tax - Real Estate Senior Manager,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,"Uphold the firm's code of ethics and business conduct.Considerable experience identifying and addressing client needs: building, maintaining, and utilizing…"
Senior Accountant,Ginkgo Residential,"Charlotte, NC 28202 (Downtown Charlotte area)",28 days ago,2022-02-02,"Assist in managing outsourced property accounting function, including review of month end close prepared by third party provider."
,Jobplex,"Charlotte, NC 28273 (Olde Whitehall area)",4 days ago,2022-02-02,Understanding of and the ability to adhere to generally accepted accounting principles.The GL Accountant will be responsible for the financial processing of…
Senior Accountant,"Infinity Consulting Solutions, Inc.","Charlotte, NC",11 days ago,2022-02-02,Create and analyze schedules to prepare journal entries and reconcile asset and liability reconciliations.The Senior Accountant will analyze complex financial…
Senior Accountant,Ditch Witch of the Carolinas,"Charlotte, NC 28206 (Sugaw Creek-Ritch Ave area)",EmployerActive 5 days ago,2022-02-02,"\* Manage floorplan processes including payments, monthly reconciliations, spread spreadsheets, internal & external audits.\* Vacation, Holiday, and Sick Time."
Sr. Accountant,Teguar,"Charlotte, NC 28273 (Olde Whitehall area)",EmployerActive 1 day ago,2022-02-02,Places and applies vendor prepayments.Develops and implements accounting procedures by analyzing current procedures and recommending changes.
,avidxchange,"Charlotte, NC 28206 (Tryon Hills area)",Today,2022-02-02,Audit experience with national or international public accounting firm.Create and analyze schedules to prepare journal entries and reconcile asset and…
,Jobplex,"Charlotte, NC 28273 (Olde Whitehall area)",4 days ago,2022-02-02,Understanding of and the ability to adhere to generally accepted accounting principles.The GL Accountant will be responsible for the financial processing of…
Senior Accountant,Ditch Witch of the Carolinas,"Charlotte, NC 28206 (Sugaw Creek-Ritch Ave area)",EmployerActive 5 days ago,2022-02-02,"\* Manage floorplan processes including payments, monthly reconciliations, spread spreadsheets, internal & external audits.\* Vacation, Holiday, and Sick Time."
Senior Accountant,"Infinity Consulting Solutions, Inc.","Charlotte, NC",11 days ago,2022-02-02,Create and analyze schedules to prepare journal entries and reconcile asset and liability reconciliations.The Senior Accountant will analyze complex financial…
Senior Property Accountant,Sandhurst Apartment Management,"Charlotte, NC 28211 (Barclay Downs area)",EmployerActive 2 days ago,2022-02-02,"Responsible for month-end closing process for assigned properties including; general ledger entries and review, bank reconciliations and financial statement…"
Senior Accountant,AccruePartners,"Charlotte, NC 28226 (Johnston Rd.-McAlpine area)",EmployerActive 2 days ago,2022-02-02,Coordinates accounting matters with other departments within the division.Assists with the preparation of monthly financial reports and cash flow projections.
,"Henderson Properties, Inc","Charlotte, NC 28211 (Grier Heights area)",1 day ago,2022-02-02,"Process lockbox payments, identify problem transactions, submit resolution tickets with financial institution and take appropriate steps in accounting system to…"
Senior Accountant,Hayward Industries,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,Responsibilities: This position is a shared accounting function for US Business Units and is responsible for applying principles of accounting and finance by…
Accounting Senior Manager,Parsons CPA PLLC,"Hybrid remote in Charlotte, NC",EmployerActive 2 days ago,2022-02-02,Start to develop new business relationships with potential clients and company personnel to grow the clientele base and work to foster on-going efforts to…
Senior Accountant,"Hobbs Crossley Benefield & Craven, PA","Charlotte, NC 28211 (Grier Heights area)",EmployerActive 6 days ago,2022-02-02,Examine yearend tax information to prepare adequate tax planning reports for individuals and businesses.Experience with current computer accounting programs…
,Caesarstone,"Charlotte, NC 28208 (Westerly Hills area)",1 day ago,2022-02-02,"Support the business with month, quarter and year-end closing activities and ensures that business transactions are recorded in accordance with generally…"
Senior Fund Accountant,Atlas Fund Services,"Charlotte, NC 28217 (Yorkmount area)",EmployerActive 9 days ago,2022-02-02,"Prepare general ledger, financial statements, investor capital accounts, partnership calculations, partner allocations, management and performance fee…"
Senior Accountant,CTE,"Charlotte, NC 28269",8 days ago,2022-02-02,The senior accountant will also be called upon to assist in various initiatives including continuous improvement opportunities as well as post-acquisition…
Senior Accounting Manager,Human Operations Solutions,"Charlotte, NC 28217 (Montclaire South area)",EmployerActive 5 days ago,2022-02-02,"Prepares budgets by establishing schedules; collecting, analyzing, and consolidating financial data; recommending plans."
Senior Accountant,Nwr Services Llc,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Record monthly depreciation and amortization schedules.Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…"
Senior Fund Accountant,Atlas Fund Services,"Charlotte, NC 28217 (Yorkmount area)",EmployerActive 9 days ago,2022-02-02,"Prepare general ledger, financial statements, investor capital accounts, partnership calculations, partner allocations, management and performance fee…"
Operations Senior Staff Accountant,Park Avenue Properties powered by PURE Employment...,"Cornelius, NC 28031",EmployerActive 2 days ago,2022-02-02,"*Process and pay thru out the month*.*Enter rent payments, owner contributions, vendor refunds and any other receivables that are not paid online*."
Accounting Senior Manager,Parsons CPA PLLC,"Hybrid remote in Charlotte, NC",EmployerActive 2 days ago,2022-02-02,Start to develop new business relationships with potential clients and company personnel to grow the clientele base and work to foster on-going efforts to…
Senior Accountant,Haas F1 Team,"Kannapolis, NC 28081",28 days ago,2022-02-02,Acts as an accounting resource for other accounting staff and external departments by determining proper accounting treatment of transactions and interpreting…
Senior Accounting Manager,Human Operations Solutions,"Charlotte, NC 28217 (Montclaire South area)",EmployerActive 5 days ago,2022-02-02,"Prepares budgets by establishing schedules; collecting, analyzing, and consolidating financial data; recommending plans."
Senior Accountant,SOUTHWOOD REALTY,"Gastonia, NC 28052",30+ days ago,2022-02-02,"In coordination with outside accountants, advise management regarding tax liabilities/strategies.Maintain current knowledge of tax and accounting changes."
Senior Accounting Specialist,Greenway Realty Management,"Charlotte, NC 28203 (Dilworth area)",EmployerActive 2 days ago,2022-02-02,Property Management Firm is looking for a new team member with at least 5-10 years of accounting/bookkeeping experience.
Sr Accountant / Financial Analyst,CBI,"Charlotte, NC 28217+1 location",18 days ago,2022-02-02,"Key player in the implementation of a new ERP system, especially in the area of architecting reports that will replace the current ""manual"" processes."
Sr. Cost Accountant,Charlotte Pipe and Foundry Company,"Monroe, NC 28110",EmployerActive 2 days ago,2022-02-02,We pay competitively based on performance and provide excellent benefits.401(k) with company match of 50 cents for every dollar contributed up to 6% of annual…
,JELD-WEN,"Charlotte, NC 28273 (Olde Whitehall area)",4 days ago,2022-02-02,"As a valued member of the Finance Team, the Senior Financial Accountant will support the business by assisting in monthly accounting, financial reporting,…"
Senior Accounting Analyst,"Amwins Group, Inc.","Charlotte, NC 28210 (Barclay Downs area)",27 days ago,2022-02-02,"Effectively communicates with internal and external customers, while successfully maintaining a high level of customer service.Train and Mentor New Hires."
Senior Accountant (m/f/d),Tosaf,"Bessemer City, NC 28016",EmployerActive 14 days ago,2022-02-02,Analyze and accurately report current month's financial results to the corporate management in accordance with corporate format and time requirements.
Senior Manager of Accounting and Reporting,Cornerstone Building Brands,"Charlotte, NC",30+ days ago,2022-02-02,"6+ years of public accounting (Big 4 or top tier; clients must have included SEC registrants), 7 to 9 years of industry, or a mix of both, including supervisory…"
Audit - Senior Associate,Aprio Llp,"Matthews, NC 28105",14 days ago,2022-02-02,"3-5 years of experience working for a public accounting firm.Discretionary incentive compensation based on firm, group and individual performance."
Tax Staff/Senior Staff,"Steven M Stell CPA, PLLC","Charlotte, NC 28203 (Wilmore area)",EmployerActive 18 days ago,2022-02-02,"Desired Skills & Experience: BA or BS in Accounting4 plus years recent public accounting firm experience.Prepare and review partnership, corporation, and S…"
Senior Accountant,SOUTHWOOD REALTY,"Gastonia, NC 28052",30+ days ago,2022-02-02,"In coordination with outside accountants, advise management regarding tax liabilities/strategies.Maintain current knowledge of tax and accounting changes."
Senior Tax accountant,James L. Gibson CPA P.C.,"Charlotte, NC 28226 (Olde Providence North area)",30+ days ago,2022-02-02,"We are looking for a qualified tax accountant (CPA would be preferred, but not required) to initially manage a book of 70+ clients."
Sr. Cost Accountant,Charlotte Pipe and Foundry Company,"Monroe, NC 28110",EmployerActive 2 days ago,2022-02-02,We pay competitively based on performance and provide excellent benefits.401(k) with company match of 50 cents for every dollar contributed up to 6% of annual…
Audit - Senior Associate,Aprio Llp,"Matthews, NC 28105",14 days ago,2022-02-02,"3-5 years of experience working for a public accounting firm.Discretionary incentive compensation based on firm, group and individual performance."
"Senior Associate, Assurance Services","GreerWalker, LLP","Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,Minimum of three years of experience as a staff accountant.Technical knowledge sufficient to supervise staff accountant as well as review their work.
Senior Manager of Accounting and Reporting,Cornerstone Building Brands,"Charlotte, NC",30+ days ago,2022-02-02,"6+ years of public accounting (Big 4 or top tier; clients must have included SEC registrants), 7 to 9 years of industry, or a mix of both, including supervisory…"
Senior Accountant (m/f/d),Tosaf,"Bessemer City, NC 28016",EmployerActive 14 days ago,2022-02-02,Analyze and accurately report current month's financial results to the corporate management in accordance with corporate format and time requirements.
Senior Audit Associate,Burkett Burkett & Burkett CPAS,"Rock Hill, SC 29730",EmployerActive 6 days ago,2022-02-02,Perform planning and substantive audit / review procedures and/or AUPs.Participate in marketing events to promote the firm.
"SENIOR DIRECTOR, CORPORATE CONTROLLER",Segra,"Charlotte, NC 28277 (Ballantyne East area)",20 days ago,2022-02-02,"The Sr. Director, Corporate Controller plans, supervises and directs all areas of the accounting and financial reporting function, including accounts payable…"
Tax Staff/Senior Staff,"Steven M Stell CPA, PLLC","Charlotte, NC 28203 (Wilmore area)",EmployerActive 18 days ago,2022-02-02,"Desired Skills & Experience: BA or BS in Accounting4 plus years recent public accounting firm experience.Prepare and review partnership, corporation, and S…"
Senior Paralegal - Estates and Tax,Robinson Bradshaw,"Charlotte, NC 28202 (Fourth Ward area)",26 days ago,2022-02-02,Consults with firm attorneys in tax planning strategies for estates and trusts.Prepares database information for estate planning clients and assembles correct…
,"Prager Metis CPAs, LLC","Charlotte, NC 28277 (Piper Glen Estates area)",4 days ago,2022-02-02,"Lead client audit engagements, which include planning executing, directing, and completing financial audits.Supervise, train and mentor associates and interns…"
Senior Tax Associate - Hybrid/Remote,CAPTRUST,"Remote in Charlotte, NC",30+ days ago,2022-02-02,"We provide investment advisory services to retirement plan fiduciaries, endowments and foundations and wealth planning services to executives, business owners,…"
"Senior Vice President, Controller & Finance Leader",Townsquare Interactive,"Charlotte, NC",26 days ago,2022-02-02,"This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves…"
"Senior Associate, Tax Services","GreerWalker, LLP","Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Participate in client meetings and serve as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and…"
